"p","graph","n","sim","method","FDR","FPR","TPR","SHD"
"25","random","500","99","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","500","99","RFCI","1","0.102739726027397","0","23"
"25","random","500","99","LRpS-GES","1","0.0582191780821918","0","25"
"25","random","500","100","CAM","0.826086956521739","0.0650684931506849","0.5","23"
"25","random","500","100","RFCI","1","0.0821917808219178","0","20"
"25","random","500","100","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","1000","1","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1000","1","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","1","LRpS-GES","1","0.0616438356164384","0","26"
"25","random","1000","2","CAM","0.92","0.0787671232876712","0.25","29"
"25","random","1000","2","RFCI","1","0.102739726027397","0","23"
"25","random","1000","2","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1000","3","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","1000","3","RFCI","1","0.102739726027397","0","23"
"25","random","1000","3","LRpS-GES","1","0.0821917808219178","0","29"
"25","random","1000","4","CAM","0.8","0.0684931506849315","0.625","23"
"25","random","1000","4","RFCI","1","0.102739726027397","0","23"
"25","random","1000","4","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","1000","5","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1000","5","RFCI","1","0.102739726027397","0","23"
"25","random","1000","5","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1000","6","CAM","0.833333333333333","0.0856164383561644","0.625","28"
"25","random","1000","6","RFCI","1","0.10958904109589","0","24"
"25","random","1000","6","LRpS-GES","1","0.0821917808219178","0","30"
"25","random","1000","7","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","1000","7","RFCI","1","0.102739726027397","0","23"
"25","random","1000","7","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1000","8","CAM","0.8125","0.089041095890411","0.75","28"
"25","random","1000","8","RFCI","1","0.102739726027397","0","23"
"25","random","1000","8","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1000","9","CAM","0.88","0.0753424657534247","0.375","27"
"25","random","1000","9","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","9","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","1000","10","CAM","0.84","0.0719178082191781","0.5","25"
"25","random","1000","10","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","10","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","1000","11","CAM","0.925925925925926","0.0856164383561644","0.25","31"
"25","random","1000","11","RFCI","1","0.116438356164384","0","25"
"25","random","1000","11","LRpS-GES","1","0.0856164383561644","0","32"
"25","random","1000","12","CAM","0.90625","0.0993150684931507","0.375","34"
"25","random","1000","12","RFCI","1","0.102739726027397","0","23"
"25","random","1000","12","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1000","13","CAM","0.916666666666667","0.0753424657534247","0.25","28"
"25","random","1000","13","RFCI","1","0.089041095890411","0","21"
"25","random","1000","13","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","1000","14","CAM","0.827586206896552","0.0821917808219178","0.625","27"
"25","random","1000","14","RFCI","1","0.102739726027397","0","23"
"25","random","1000","14","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1000","15","CAM","0.961538461538462","0.0856164383561644","0.125","32"
"25","random","1000","15","RFCI","1","0.102739726027397","0","23"
"25","random","1000","15","LRpS-GES","1","0.0753424657534247","0","29"
"25","random","1000","16","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1000","16","RFCI","1","0.102739726027397","0","23"
"25","random","1000","16","LRpS-GES","1","0.0787671232876712","0","30"
"25","random","1000","17","CAM","0.869565217391304","0.0684931506849315","0.375","25"
"25","random","1000","17","RFCI","1","0.089041095890411","0","21"
"25","random","1000","17","LRpS-GES","1","0.0753424657534247","0","28"
"25","random","1000","18","CAM","0.807692307692308","0.0719178082191781","0.625","24"
"25","random","1000","18","RFCI","1","0.102739726027397","0","23"
"25","random","1000","18","LRpS-GES","1","0.0958904109589041","0","31"
"25","random","1000","19","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1000","19","RFCI","1","0.102739726027397","0","23"
"25","random","1000","19","LRpS-GES","1","0.0821917808219178","0","29"
"25","random","1000","20","CAM","0.806451612903226","0.0856164383561644","0.75","27"
"25","random","1000","20","RFCI","1","0.10958904109589","0","24"
"25","random","1000","20","LRpS-GES","1","0.0958904109589041","0","33"
"25","random","1000","21","CAM","0.814814814814815","0.0753424657534247","0.625","25"
"25","random","1000","21","RFCI","1","0.102739726027397","0","23"
"25","random","1000","21","LRpS-GES","1","0.0856164383561644","0","29"
"25","random","1000","22","CAM","0.875","0.0719178082191781","0.375","26"
"25","random","1000","22","RFCI","1","0.102739726027397","0","23"
"25","random","1000","22","LRpS-GES","1","0.0856164383561644","0","29"
"25","random","1000","23","CAM","0.758620689655172","0.0753424657534247","0.875","23"
"25","random","1000","23","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","23","LRpS-GES","1","0.0684931506849315","0","26"
"25","random","1000","24","CAM","0.888888888888889","0.0821917808219178","0.375","29"
"25","random","1000","24","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","24","LRpS-GES","1","0.0719178082191781","0","26"
"25","random","1000","25","CAM","0.896551724137931","0.089041095890411","0.375","31"
"25","random","1000","25","RFCI","1","0.102739726027397","0","23"
"25","random","1000","25","LRpS-GES","1","0.0821917808219178","0","31"
"25","random","1000","26","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1000","26","RFCI","1","0.102739726027397","0","23"
"25","random","1000","26","LRpS-GES","1","0.0787671232876712","0","28"
"25","random","1000","27","CAM","0.78125","0.0856164383561644","0.875","26"
"25","random","1000","27","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","27","LRpS-GES","1","0.0650684931506849","0","26"
"25","random","1000","28","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","1000","28","RFCI","1","0.089041095890411","0","21"
"25","random","1000","28","LRpS-GES","1","0.0650684931506849","0","26"
"25","random","1000","29","CAM","0.862068965517241","0.0856164383561644","0.5","29"
"25","random","1000","29","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","29","LRpS-GES","0.944444444444444","0.0582191780821918","0.125","24"
"25","random","1000","30","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1000","30","RFCI","1","0.102739726027397","0","23"
"25","random","1000","30","LRpS-GES","1","0.0719178082191781","0","27"
"25","random","1000","31","CAM","0.962962962962963","0.089041095890411","0.125","33"
"25","random","1000","31","RFCI","1","0.10958904109589","0","24"
"25","random","1000","31","LRpS-GES","1","0.0821917808219178","0","32"
"25","random","1000","32","CAM","0.791666666666667","0.0650684931506849","0.625","22"
"25","random","1000","32","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","32","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","1000","33","CAM","0.75","0.0616438356164384","0.75","20"
"25","random","1000","33","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","33","LRpS-GES","1","0.0753424657534247","0","29"
"25","random","1000","34","CAM","0.866666666666667","0.089041095890411","0.5","30"
"25","random","1000","34","RFCI","1","0.102739726027397","0","23"
"25","random","1000","34","LRpS-GES","1","0.0719178082191781","0","28"
"25","random","1000","35","CAM","0.846153846153846","0.0753424657534247","0.5","26"
"25","random","1000","35","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","35","LRpS-GES","1","0.0684931506849315","0","27"
"25","random","1000","36","CAM","0.851851851851852","0.0787671232876712","0.5","27"
"25","random","1000","36","RFCI","1","0.089041095890411","0","21"
"25","random","1000","36","LRpS-GES","1","0.0582191780821918","0","25"
"25","random","1000","37","CAM","0.91304347826087","0.0719178082191781","0.25","27"
"25","random","1000","37","RFCI","1","0.102739726027397","0","23"
"25","random","1000","37","LRpS-GES","1","0.0787671232876712","0","29"
"25","random","1000","38","CAM","0.75","0.0616438356164384","0.75","20"
"25","random","1000","38","RFCI","1","0.102739726027397","0","23"
"25","random","1000","38","LRpS-GES","1","0.0650684931506849","0","27"
"25","random","1000","39","CAM","0.857142857142857","0.0821917808219178","0.5","28"
"25","random","1000","39","RFCI","1","0.0958904109589041","0","22"
"25","random","1000","39","LRpS-GES","1","0.0856164383561644","0","30"
"25","random","1000","40","CAM","0.838709677419355","0.089041095890411","0.625","29"
"25","random","1000","40","RFCI","1","0.10958904109589","0","24"
